,,Value Weighted,Value Weighted (full available data),Minimum Variance (Sample Covariance),Minimum Variance (Ledoit–Wolf)
2014,Jan,-0.0360730488029479,-0.03600693354060085,-3.053425248189176e-05,-0.004533240049196539
2014,Feb,0.05413200306158002,0.05197607572336295,0.05046641387237662,0.04697388007445615
2014,Mar,0.007865585521372571,0.009044828312513853,0.0065916050444261,0.005374882657712073
2014,Apr,0.018190944395607873,0.0181735087592775,0.02143096283939754,0.019808995917158016
2014,May,0.015616788891133934,0.014729298607703993,0.007803547921280933,0.008204668343714975
2014,Jun,0.011431113062307022,0.01091211567817604,0.005127491371419651,0.010236980709014295
2014,Jul,-0.022087604400668995,-0.021409049018288873,-0.04434009279271162,-0.040122693512298926
2014,Aug,0.022326229225302738,0.022300184710213777,0.030178760192757777,0.031067173900783406
2014,Sep,-0.025609162350995838,-0.024527633842405177,-0.0443547776620383,-0.03843417366926793
2014,Oct,0.00022498474397102466,0.000638066664400804,0.04653697276751057,0.046787191983594566
2014,Nov,0.02458078678514202,0.024935783823833504,0.0321399824657757,0.02909647657121394
2014,Dec,-0.019276826528345628,-0.018253473970887706,0.009403322344767906,0.0065010933577713415
2015,Jan,-0.023956175148357087,-0.022612906324401084,0.0015211673832152516,0.004758506342223674
2015,Feb,0.06038398514385248,0.05791679308440653,0.00612094616951582,0.011749322688180014
2015,Mar,-0.020121820194453265,-0.018867084029466713,-0.021363952354682143,-0.016852582851018427
2015,Apr,0.028179129382781425,0.027040435005980083,0.006851354605282552,0.0035244161145187476
2015,May,0.0003983546861689143,0.0006801654177784481,0.00800015036279278,0.012144906861519762
2015,Jun,-0.02471853611145034,-0.02373915539850781,-0.015839289430051664,-0.02196107040003999
2015,Jul,0.018981793532815722,0.018174213166057954,0.05526932210022695,0.05202900437228535
2015,Aug,-0.06396848143495244,-0.06209249281012846,-0.03326210057632216,-0.033181456090481336
2015,Sep,-0.035346527890403864,-0.03367922172811962,0.0027480766046769733,-0.0035278564087900736
2015,Oct,0.07876475016870124,0.07617109319371841,0.03446875442944981,0.03206056346351606
2015,Nov,-0.008174990953748459,-0.007271886996300737,-0.00010295713271096015,-0.0036012739465663074
2015,Dec,-0.027718026036991115,-0.02692315172490547,0.02322356720985769,0.023124379481749953
2016,Jan,-0.05522509499108169,-0.054002383180242905,-0.005893049490119033,0.00318626298874726
2016,Feb,-0.0037796359887753194,-0.0037651273674232273,0.0026625343579891343,0.000576285939278335
2016,Mar,0.0736519721268132,0.07248886013788765,0.056469717934866555,0.042547858053620866
2016,Apr,0.018298982403846333,0.018219161624345896,0.024337598915454582,0.006077314245846127
2016,May,0.0059426173716537025,0.0059017074965858835,0.013358488406181715,0.015746425026462656
2016,Jun,-0.017208211977374745,-0.01604363965046416,0.03980025684267997,0.04202010320103526
2016,Jul,0.04155685880024171,0.0406014539553573,0.024071384700619237,0.021423636413745017
2016,Aug,0.005955515675257511,0.005792776780509027,-0.052760123375689166,-0.04122439886916337
2016,Sep,0.0025404664819067436,0.002175907283635658,0.0018956372418647343,-0.015168424357608202
2016,Oct,-0.020009321709393575,-0.020147224575768136,-0.013289249042857745,-0.03532324452289186
2016,Nov,0.019818046862285665,0.01945320719866008,-0.009882215113729257,-0.01600725826773375
2016,Dec,0.034682159589546166,0.03435559786360563,0.019924946439895445,0.031922510104414194
2017,Jan,0.014643604681415151,0.014518669337503263,0.010110598136886341,0.012956029104279778
2017,Feb,0.03030635774824182,0.030170138613388985,0.019327506002032445,0.01937998719603277
2017,Mar,0.014556720376078407,0.014750885811312757,-0.007995663972536884,0.006045417802899187
2017,Apr,0.01940780419256331,0.01937210436156224,0.03737532097740984,0.033734389199966415
2017,May,0.027143973911145116,0.02699977953102416,0.012937972238172418,0.022792980229045554
2017,Jun,0.0024237682356770254,0.002199552064917478,-0.005761232986632711,-0.011934898404836221
2017,Jul,0.021291722030697735,0.021232705512855544,0.02043900454353428,0.016562949528042836
2017,Aug,-0.0011412074723357532,-0.0012043572524661848,-0.04045133048471169,-0.04544708381724589
2017,Sep,0.028423521153148522,0.028033369601667787,0.013175357848268836,0.010990917386546431
2017,Oct,0.013895467426078535,0.013701857770997798,-0.0019581508142540146,0.006796731302678891
2017,Nov,0.02499857951750982,0.02488553950158165,0.029119996371623047,0.026668854540430564
2017,Dec,0.01398371062237448,0.013984328658834415,0.030144522511896935,0.02362269669922701
2018,Jan,0.04731209967863941,0.047051747664455024,0.020723090172388436,-0.016889066159104158
2018,Feb,-0.04897044279298077,-0.04874496760459398,-0.061486854517496685,-0.06895569727598962
2018,Mar,-0.01674257973861803,-0.01662060939561254,-0.011364135421592918,-0.0117768442156173
2018,Apr,0.012743466974354734,0.012696806516369796,0.004451768216113176,0.011731202427114316
2018,May,3.450643831835222e-05,-0.00028900240155758407,0.023549607510219797,0.023769818881137036
2018,Jun,0.0023399420003226853,0.0025233836564350597,0.03050769807681906,0.018926831568150147
2018,Jul,0.03960694425034706,0.039582944254346344,0.014646348871181051,0.009050372342168449
2018,Aug,0.005270393008720982,0.005483250187986137,0.021027023434035688,0.024333576445455297
2018,Sep,0.006229130910762214,0.006371930708910243,-0.0166701337113676,-0.00883080830725279
2018,Oct,-0.06188073461374005,-0.061944075068261745,-0.011939664700864092,-0.015939859344876413
2018,Nov,0.013306713494448758,0.013288981406534853,0.003717845234444358,-0.007387293062323039
2018,Dec,-0.08081229798711846,-0.08039471783555735,-0.05599397265431723,-0.06454106310806575
2019,Jan,0.08045361791803554,0.07961182678241446,0.02218984789382725,0.02015372292479585
2019,Feb,0.03434591356375655,0.03414847087242581,0.048076870570860665,0.04325737568457972
2019,Mar,0.011334988418661048,0.011462873445661683,0.03594611245940633,0.03643773819192227
2019,Apr,0.04110936775755815,0.040829030613163675,0.01792827432039836,0.028735773680923817
2019,May,-0.0662629885740387,-0.06581034627225218,-0.016045912533687173,-0.022990385207331855
2019,Jun,0.07322332079354132,0.0725602986422959,0.040228966727637844,0.04493368661122154
2019,Jul,0.002843822274370339,0.0027950453157099577,-0.004148115311189514,0.005344871952116321
2019,Aug,-0.025743995471195692,-0.0253985465557352,-0.01052229170892343,0.00255919412910113
2019,Sep,0.031692776202707496,0.03159007487853703,0.006577668697156975,0.009491277120398562
2019,Oct,0.02396892957487759,0.02407063041976885,-0.015127040045065505,-0.007978986090414045
2019,Nov,0.031224096810236447,0.031206197107481654,0.035085378268717764,0.026938255820254366
2019,Dec,0.0359665570705136,0.03563241943895485,0.061587950838721525,0.05732285801656931
2020,Jan,-0.014170888348942106,-0.013920268677350467,0.006908625149180029,0.011827923303714313
2020,Feb,-0.09021812008938386,-0.08970179777385566,-0.09116279951308756,-0.084162144206438
2020,Mar,-0.14503225049933627,-0.14357986007633744,-0.14687726148575148,-0.1251957974601562
2020,Apr,0.11012903457753657,0.10955804251134552,0.1317369514549416,0.11434310627040738
2020,May,0.03768478287734101,0.03726085993406526,0.033354560384718776,0.028939101548258298
2020,Jun,0.026677208238723618,0.02673086473053098,-0.004719720550430372,-0.006664747864824317
2020,Jul,0.03554023437565311,0.03557736019437739,0.0644141856364656,0.0716437897248184
2020,Aug,0.057467812267712304,0.05698481386682941,0.044894399056551015,0.04178481704611774
2020,Sep,-0.041721118666417104,-0.04151101572766285,-0.019528950435036413,-0.013661040917983674
2020,Oct,-0.032730498306692876,-0.03297626829382358,-0.013624863256738307,-0.011741678356281666
2020,Nov,0.16298657837869987,0.16178654873999052,0.10397888129831104,0.09024337314092129
2020,Dec,0.04086582677643348,0.040833917157967116,0.04052923275364616,0.03182396832679801
2021,Jan,-0.012173184769556186,-0.0122220183324252,-0.003457780276634119,-0.00525343569757631
2021,Feb,0.03657776859339674,0.03638279229851557,-0.00539448927673789,-0.003740767679066179
2021,Mar,0.05001765671554285,0.049721846960903905,0.08463807656320625,0.08432693676983735
2021,Apr,0.048154856355427954,0.048011792957210433,0.020833459544117715,0.023623532199754552
2021,May,0.02225105577062448,0.022078508142208277,0.02413997961187105,0.023010172639213174
2021,Jun,0.0046825306121907,0.0047651079652959345,-0.016121159862406007,-0.01623212473090847
2021,Jul,0.01549228850383881,0.015526159048137665,0.026712886152520834,0.026291853476712344
2021,Aug,0.019157953031536116,0.019239188872537814,0.007353854900377243,0.00800019274903039
2021,Sep,-0.0388536547101411,-0.03882962210935867,-0.055993824124424586,-0.05569221778224674
2021,Oct,0.055974094133049546,0.055880883212230725,0.03092600449701586,0.03228825016791936
2021,Nov,-0.026212021171897085,-0.02592779252984021,-0.03139444178709062,-0.03316521153524294
2021,Dec,0.06122972645415427,0.0610873720623331,0.08095289695805684,0.07997328896261018
2022,Jan,-0.03684032927751575,-0.03663283978065596,-0.022475023776000715,-0.01730549401849501
2022,Feb,-0.02529763793534387,-0.025259570315781958,-0.011864732279279625,-0.012736016944561817
2022,Mar,0.024008167966387283,0.024099031774221884,0.0449831327023137,0.04526049211230194
2022,Apr,-0.07222171522121032,-0.07183302968668576,-0.04221611303727934,-0.03450069363379267
2022,May,0.005096023877868983,0.005102900318362059,0.011320114054293489,0.005757451373413611
2022,Jun,-0.08640726131357887,-0.08597876434603798,-0.047284343036764036,-0.04623669093981905
2022,Jul,0.08389449734383186,0.08363986938392304,0.03279034909815929,0.03512023435244894
2022,Aug,-0.04659607568018487,-0.046204972091481236,-0.031100757244713458,-0.029635632290898387
2022,Sep,-0.0942453328503212,-0.09374865300558101,-0.07498762443629461,-0.07760734917327294
2022,Oct,0.08124006658428601,0.08105741474336815,0.06154263882381565,0.06538366608337391
2022,Nov,0.07528224412200409,0.07473277869909578,0.06720684731655424,0.06491743864718094
2022,Dec,-0.04318059264161923,-0.04295595723860887,-0.026174434196479083,-0.02382522829728747
2023,Jan,0.07844003092007043,0.07796165744584571,0.022763294916298322,0.0229733825007094
2023,Feb,-0.02223944468726621,-0.021960282907797793,-0.007758662963057408,-0.01123065950695973
2023,Mar,0.03372655039554154,0.03383874871714946,0.009557390280839666,0.012241705573343843
2023,Apr,0.02548603597698562,0.025566893544263225,0.02649730687476165,0.028360320640718
2023,May,-0.017187941673948978,-0.016883779887092578,-0.0434862385719947,-0.04636025591935778
2023,Jun,0.06091962250408444,0.060555513524918836,0.0157951829355494,0.01594698975166952
2023,Jul,0.03235216732723486,0.031986180182094835,0.0063897053401480814,0.009216716267167437
2023,Aug,-0.026291150422929472,-0.026217894152035424,-0.026982057770734355,-0.027216868639511425
2023,Sep,-0.046666213335609316,-0.04651763621716188,-0.04392057559613054,-0.04495716060307489
2023,Oct,-0.023821587349605874,-0.023573407222408114,-0.013568450598659122,-0.015610368992595781
2023,Nov,0.0931634594798255,0.09314407707139516,0.03353312158103494,0.036072306190776386
2023,Dec,0.05072102138020286,0.050461189049795525,0.022180516826433967,0.02438976544094937
2024,Jan,0.006158626941442189,0.0063978541533766305,-0.004506032539864729,-0.0021347280008428356
2024,Feb,0.030217526997869584,0.030111732992847678,0.026874099557975664,0.02194471885505853
2024,Mar,0.035090152083581794,0.034954253816738605,0.02920369604502094,0.028918108909804903
2024,Apr,-0.03481810822661197,-0.034688336955786166,0.007717873587337512,0.007339368961559421
2024,May,0.04328722496154416,0.04304551472285332,0.027374674100604394,0.02968514039734218
2024,Jun,0.00531782206433141,0.005483521217817915,-0.011037347066133199,-0.011855602345375542
2024,Jul,0.02824571682780129,0.02810913501904294,0.027723602287242716,0.02878596106921633
2024,Aug,0.025477244519483307,0.025525975548420926,0.04215962015076993,0.04413556350443622
2024,Sep,0.015336749499504677,0.015262020792325614,-0.00560575530061801,-0.004472453499116937
2024,Oct,-0.02968531935177579,-0.029598802118055146,-0.04876917068996293,-0.0447571429328115
2024,Nov,0.03562961801583125,0.03565226795077657,-0.00015864138004326872,-0.0006096489862709078
2024,Dec,-0.03472215718851721,-0.034591398497110265,-0.035952369352027495,-0.03480871571695483
2025,Jan,0.03401164335037601,0.03390839143494495,-0.005295499689929326,-0.002293459964282279
2025,Feb,0.005941679681657258,0.005945350710033822,0.0032066217800799535,0.010182997323781874
2025,Mar,-0.0352818273666359,-0.03521038284322235,0.013762485684102039,0.013489832011864336
2025,Apr,-0.0031127611999025584,-0.0031067586664675767,0.041398742751478125,0.036990290012279464
2025,May,0.04639650768641165,0.046364805593890085,-0.010544574842575738,-0.009699933259250908
2025,Jun,0.04014872604913096,0.04012753153144031,-0.0025571472662057042,-0.0005897114914957024
2025,Jul,0.010741207831035571,0.010661786633802666,-0.012493624631818898,-0.005980620570766225
2025,Aug,0.031637013706071915,0.03156826645433589,0.011490677948474689,0.011846380702083747
2025,Sep,0.022071124722057342,0.022029333955574725,-0.005874771276571949,-0.0016563159191669034
2025,Oct,0.021133185727705804,0.021153193528106705,-0.01356156277134644,-0.010713993355216526
2025,Nov,0.014414630871745937,0.014276670247828156,0.050868486550081776,0.047036221479686724
2025,Dec,0.012616956354160639,0.012564051365697233,-0.001747568066295304,-0.006907430685965148
